"table","relation_count","related_facts"
"enrollment_term_dim",37,"assignment_fact,assignment_override_fact,assignment_override_user_fact,assignment_override_user_rollup_fact,catalog_product_fact,conversation_message_participant_fact,course_ui_navigation_item_fact,discussion_entry_fact,discussion_topic_fact,enrollment_fact,external_tool_activation_fact,file_fact,group_fact,group_membership_fact,learning_outcome_fact,learning_outcome_group_association_fact,learning_outcome_group_fact,learning_outcome_question_result_fact,learning_outcome_result_fact,learning_outcome_rubric_criterion_fact,module_completion_requirement_fact,module_fact,module_item_fact,module_prerequisite_fact,module_progression_completion_requirement_fact,module_progression_fact,quiz_fact,quiz_question_answer_fact,quiz_question_fact,quiz_question_group_fact,quiz_submission_fact,quiz_submission_historical_fact,submission_comment_fact,submission_fact,submission_file_fact,wiki_fact,wiki_page_fact"
"assignment_fact",0,""
"assignment_override_fact",0,""
"assignment_override_user_fact",0,""
"assignment_override_user_rollup_fact",0,""
"catalog_product_fact",0,""
"conversation_message_participant_fact",0,""
"course_ui_navigation_item_fact",0,""
"discussion_entry_fact",0,""
"discussion_topic_fact",0,""
"enrollment_fact",0,""
"external_tool_activation_fact",0,""
"file_fact",0,""
"group_fact",0,""
"group_membership_fact",0,""
"learning_outcome_fact",0,""
"learning_outcome_group_association_fact",0,""
"learning_outcome_group_fact",0,""
"learning_outcome_question_result_fact",0,""
"learning_outcome_result_fact",0,""
"learning_outcome_rubric_criterion_fact",0,""
"module_completion_requirement_fact",0,""
"module_fact",0,""
"module_item_fact",0,""
"module_prerequisite_fact",0,""
"module_progression_completion_requirement_fact",0,""
"module_progression_fact",0,""
"quiz_fact",0,""
"quiz_question_answer_fact",0,""
"quiz_question_fact",0,""
"quiz_question_group_fact",0,""
"quiz_submission_fact",0,""
"quiz_submission_historical_fact",0,""
"submission_comment_fact",0,""
"submission_fact",0,""
"submission_file_fact",0,""
"wiki_fact",0,""
"wiki_page_fact",0,""
