"table","relation_count","related_facts"
"assignment_dim",22,"assignment_fact,assignment_override_fact,assignment_override_user_fact,assignment_override_user_rollup_fact,discussion_entry_fact,discussion_topic_fact,file_fact,learning_outcome_question_result_fact,learning_outcome_result_fact,module_completion_requirement_fact,module_item_fact,module_progression_completion_requirement_fact,quiz_fact,quiz_question_answer_fact,quiz_question_fact,quiz_question_group_fact,quiz_submission_fact,quiz_submission_historical_fact,submission_comment_fact,submission_fact,submission_file_fact,requests"
"assignment_fact",0,""
"assignment_override_fact",0,""
"assignment_override_user_fact",0,""
"assignment_override_user_rollup_fact",0,""
"discussion_entry_fact",0,""
"discussion_topic_fact",0,""
"file_fact",0,""
"learning_outcome_question_result_fact",0,""
"learning_outcome_result_fact",0,""
"module_completion_requirement_fact",0,""
"module_item_fact",0,""
"module_progression_completion_requirement_fact",0,""
"quiz_fact",0,""
"quiz_question_answer_fact",0,""
"quiz_question_fact",0,""
"quiz_question_group_fact",0,""
"quiz_submission_fact",0,""
"quiz_submission_historical_fact",0,""
"submission_comment_fact",0,""
"submission_fact",0,""
"submission_file_fact",0,""
"requests",0,""
